commune,region,federation,total,F - 1 à 4 ans,F - 5 à 9 ans,F - 10 à 14 ans,F - 15 à 19 ans,F - 20 à 24 ans,F - 25 à 29 ans,F - 30 à 34 ans,F - 35 à 39 ans,F - 40 à 44 ans,F - 45 à 49 ans,F - 50 à 54 ans,F - 55 à 59 ans,F - 60 à 64 ans,F - 65 à 69 ans,F - 70 à 74 ans,F - 75 à 79 ans,F - 80 à 99 ans,F - NR,H - 1 à 4 ans,H - 5 à 9 ans,H - 10 à 14 ans,H - 15 à 19 ans,H - 20 à 24 ans,H - 25 à 29 ans,H - 30 à 34 ans,H - 35 à 39 ans,H - 40 à 44 ans,H - 45 à 49 ans,H - 50 à 54 ans,H - 55 à 59 ans,H - 60 à 64 ans,H - 65 à 69 ans,H - 70 à 74 ans,H - 75 à 79 ans,H - 80 à 99 ans,H - NR,sport,h_count,f_count
l'abergement-clémenciat,auvergne-rhône-alpes,ff d'athlétisme,6,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Athlétisme,3,3
l'abergement-clémenciat,auvergne-rhône-alpes,ff de badminton,15,0,0,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,2,1,1,1,0,1,0,0,0,0,0,0,0,Badminton,9,6
l'abergement-clémenciat,auvergne-rhône-alpes,ff de basketball,7,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Basket-ball,5,2
l'abergement-clémenciat,auvergne-rhône-alpes,ff d'équitation,13,0,1,3,2,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,Équitation,3,10
l'abergement-clémenciat,auvergne-rhône-alpes,ff d'escrime,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Escrime,1,1
l'abergement-clémenciat,auvergne-rhône-alpes,ff de football,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,0,3,0,1,1,0,0,0,1,0,0,0,0,0,0,Football,25,1
l'abergement-clémenciat,auvergne-rhône-alpes,ff de handball,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Handball,3,2
l'abergement-clémenciat,auvergne-rhône-alpes,"ff de judo, jujitsu, kendo et da",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Judo, jujitsu, kendo et disciplines associées",0,1
l'abergement-clémenciat,auvergne-rhône-alpes,ff de natation,4,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natation et disciplines aquatiques,1,3
l'abergement-clémenciat,auvergne-rhône-alpes,ff de tennis,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,1,2,0,0,1,0,0,1,0,Tennis,10,2
l'abergement-clémenciat,auvergne-rhône-alpes,ff de tennis de table,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Tennis de table,6,1
l'abergement-clémenciat,auvergne-rhône-alpes,ff de tir,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Tir sportif,2,0
l'abergement-clémenciat,auvergne-rhône-alpes,ff de tir à l'arc,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,Tir à l'arc,3,1
l'abergement-clémenciat,auvergne-rhône-alpes,ff de triathlon et disciplines enchainées,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Triathlon et disciplines enchaînées,2,0
l'abergement-clémenciat,auvergne-rhône-alpes,ff de golf,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,Golf,3,1
l'abergement-clémenciat,auvergne-rhône-alpes,ff de rugby,11,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,2,1,2,1,0,0,0,0,0,1,0,0,0,0,0,Rugby,9,2
l'abergement-clémenciat,auvergne-rhône-alpes,ff aéronautique,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Aéronautique,1,0
l'abergement-clémenciat,auvergne-rhône-alpes,ff du sport automobile,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Sport automobile,1,0
l'abergement-clémenciat,auvergne-rhône-alpes,ff du sport boules,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,2,1,2,0,Sport-boules,10,4
l'abergement-clémenciat,auvergne-rhône-alpes,ff de course d'orientation,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Course d’orientation,2,0
l'abergement-clémenciat,auvergne-rhône-alpes,ff de cyclotourisme,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Cyclotourisme,1,0
l'abergement-clémenciat,auvergne-rhône-alpes,ff d'études et sports sous-marins,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Plongée et sports subaquatiques,2,0
l'abergement-clémenciat,auvergne-rhône-alpes,ff de motocyclisme,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Motocyclisme,1,0
l'abergement-clémenciat,auvergne-rhône-alpes,ff de pétanque et jeu provençal,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Pétanque et jeu provençal,2,1
l'abergement-clémenciat,auvergne-rhône-alpes,ff de la randonnée pédestre,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Randonnée pédestre,1,5
l'abergement-clémenciat,auvergne-rhône-alpes,f des sports et loisirs canins,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Sports et loisirs canins,1,0
l'abergement-clémenciat,auvergne-rhône-alpes,ff d'éducation physique et de gymnastique volontaire,8,0,0,0,0,0,0,1,0,0,0,0,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Éducation physique et gymnastique volontaire,0,8
l'abergement-clémenciat,auvergne-rhône-alpes,f sportive et gymnique du travail,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Sport et gymnastique du travail,2,1
l'abergement-clémenciat,auvergne-rhône-alpes,union française des œuvres laïques d'éducation physique (ufolep),1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Multisports et éducation physique laïque,0,1
l'abergement-clémenciat,auvergne-rhône-alpes,f sportive des asptt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Sports multisports des ASPTT,1,0
l'abergement-clémenciat,auvergne-rhône-alpes,f sportive educative de l'enseignement catholique (ugsel),14,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sport scolaire de l’enseignement catholique (UGSEL),7,7
l'abergement-de-varey,auvergne-rhône-alpes,ff de badminton,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Badminton,2,0
l'abergement-de-varey,auvergne-rhône-alpes,ff de basketball,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Basket-ball,8,1
l'abergement-de-varey,auvergne-rhône-alpes,ff de canoë-kayak et sports de pagaie,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Canoë-kayak et sports de pagaie,1,1
l'abergement-de-varey,auvergne-rhône-alpes,ff de cyclisme,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cyclisme,2,0
l'abergement-de-varey,auvergne-rhône-alpes,ff d'équitation,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Équitation,0,2
l'abergement-de-varey,auvergne-rhône-alpes,ff d'escrime,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Escrime,1,0
l'abergement-de-varey,auvergne-rhône-alpes,ff de football,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Football,1,0
l'abergement-de-varey,auvergne-rhône-alpes,ff de gymnastique,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gymnastique,0,3
